,TCI_ret,TCI_vol,top10,logvix
2018-10-31,65.11509816555476,84.72241652151871,25.068084724882826,2.9628047459514537
2018-11-30,70.4840214827336,84.3596825188199,24.31466231532204,2.9647083511158794
2018-12-31,73.63009092979878,84.76603573003449,24.13552493162155,3.2170003763570305
2019-01-31,77.81191460493908,84.864241075051,24.05551267766079,2.9741194292220268
2019-02-28,76.93212341103029,84.18198956378586,23.786314979590507,2.723578139174805
2019-03-31,76.27501680024795,82.74094882817329,24.45528373953303,2.6731300670721847
2019-04-30,74.84193200224374,81.20134782040554,25.149827598445718,2.5610222401256477
2019-05-31,74.12049501657151,79.61626530209166,24.64470513448827,2.8167143372102084
2019-06-30,73.92482646719817,77.87576532277659,24.65273529743208,2.762285821053703
2019-07-31,73.24218391176674,75.85225270015437,24.710208354639,2.588208227544779
2019-08-31,76.03605195266154,77.50275185217298,24.65904966441258,2.9433378946351367
2019-09-30,76.58264423481054,77.25816326760838,24.57785701140848,2.744639241119421
2019-10-31,76.63904240760326,76.10002802576098,25.08377517387201,2.73867780159942
2019-11-30,74.64284478199846,73.47488965574817,25.314150549309677,2.5276068765785995
2019-12-31,73.6013328159481,73.9669304723989,25.63981868560009,2.6215235529836334
2020-01-31,72.45650389273067,73.89224077655373,26.626213716037,2.6348307270489397
2020-02-29,73.2599970378049,73.71758747398853,26.8287897076369,2.9770053827233096
2020-03-31,87.1377619082493,85.19014550968491,28.48573567530716,4.055895070539544
2020-04-30,88.06712807677049,86.09067016888136,29.10132037388366,3.7245797868231003
2020-05-31,87.55807674057868,85.59990513246021,28.78985758260823,3.430659092676029
2020-06-30,87.3153060377574,85.65303742086805,29.92414146285492,3.4378360945472486
2020-07-31,86.8754162120664,85.12381967806581,30.81286313202744,3.289910250177188
2020-08-31,86.26628233589825,84.07802573032693,32.24689823233824,3.1306793309545595
2020-09-30,85.83343169267425,83.47821411927777,30.92970409904187,3.319539614524133
2020-10-31,85.48872424654921,82.91872507571595,30.900354973928252,3.382307964193853
2020-11-30,84.54643007318101,83.01665567730487,30.0083059696684,3.21869581217641
2020-12-31,83.81307918782583,82.40297599331615,30.43086304048417,3.107903636519142
2021-01-31,82.72314571357995,82.01448063037988,30.915047427671688,3.2152693231485214
2021-02-28,82.10925267823876,80.86592979974205,29.876309367064042,3.141585462190551
2021-03-31,81.20334809255523,80.13320890942074,29.186137069148632,3.083882497149798
2021-04-30,79.87726443547297,79.05451401229523,30.057686089568357,2.857400265312299
2021-05-31,79.2168234559599,77.78315185958795,29.22280645565436,2.9836849885005905
2021-06-30,78.50071588080984,76.8339539847803,30.332187495430006,2.8306700035140677
2021-07-31,77.99808306719713,75.09724367086862,30.49015348406397,2.8680882885763124
2021-08-31,76.81207733725901,73.72652184730963,31.15649169367845,2.8609273411665495
2021-09-30,75.92813739394649,72.06330080935834,30.84440926234297,2.986931752286237
2021-10-31,75.44631809024203,70.7384164148124,31.781250679106947,2.883070030248711
2021-11-30,73.89579917375451,67.34464664742852,32.91550313591219,2.9177964748225746
2021-12-31,75.5118744222683,70.43307956736943,31.908832292795058,3.0612646213024464
2022-01-31,74.23641430450925,72.16804051608389,31.64338901487077,3.1433329794297316
2022-02-28,73.63563669124643,76.67923788692819,31.18724818121366,3.2483733093804967
2022-03-31,73.3971170368607,78.20685296483961,32.039882687145386,3.2946767741737912
2022-04-30,72.55399311377556,76.93216410286006,30.24862312923513,3.193496482945715
2022-05-31,77.54680829085393,79.51478359852106,29.23260306326807,3.3825483846453426
2022-06-30,79.94891491802049,79.69989318832005,29.31313842423092,3.3357695769861495
2022-07-31,79.80420569085058,79.41104616955992,30.5453453740352,3.2136019440528347
2022-08-31,78.97540185097101,78.45244890466257,30.111287416084732,3.098720418865099
2022-09-30,79.8833204676325,79.02276346046644,29.97353524112196,3.3107689155427003
2022-10-31,81.48129399176655,79.69408136009604,28.590379099338882,3.401387844073169
2022-11-30,81.68669302250453,79.7199862729919,27.36171154705077,3.1542814365946934
2022-12-31,81.88681205767492,79.59566333963578,26.16424606450535,3.0811888695706444
2023-01-31,81.80720094840498,78.80224577764925,26.976521638244783,3.005831106909677
2023-02-28,80.96424463448227,78.23269515544297,27.59369517955302,2.998832731144465
2023-03-31,80.48618408089014,77.78029375394708,29.62594584670712,3.074744353193477
