,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
Communication Services,,0.09929648802942359,0.18072925451230282,0.7067330312470161,0.5829168868641967,0.9716526641071338,0.449881764971266,0.49771369643049357,0.6265633800562243,0.2795961896566198,0.35971620402110016
Consumer Discretionary,0.037935371672317086,,0.09600318949625886,0.04265096962763715,0.03759586256618941,0.043585982522551525,0.016139580173439416,0.009314121160876043,0.011444850579576782,0.06782306198121435,0.11839508202196303
Consumer Staples,0.3198236476681139,0.35319219639107113,,0.29017574880211106,0.2073999001592064,0.41423196743605895,0.3531644580350932,0.4925375586235261,0.10930692832966415,0.2289464768206083,0.9227399487202395
Energy,0.3231849001292947,0.17868572962955342,0.5931805880457018,,0.2825988825812199,0.20728586291091922,0.7054318190128441,0.10972760904382184,0.29025177252709067,0.3824427034743526,0.7383391097788701
Financials,0.035978722545008,0.0614106766409388,0.04629850588166984,0.1036574593636822,,0.025995849408879557,0.04148766156934969,0.04019663557889663,0.107955725062723,0.1414261614697958,0.04786647886398743
Health Care,0.6943885780539237,0.9456615870653708,0.7535913367279286,0.21620862737968927,0.3308700246556371,,0.2896373689115741,0.6267202220989689,0.7092182160228844,0.8858127866705313,0.8430525021413994
Industrials,0.21254819634284527,0.20675493181301197,0.19182160182613772,0.26111623991264665,0.11623284070876161,0.10111312347847845,,0.18564683524530468,0.2892856456495585,0.21549789617405035,0.12855342965337513
Information Technology,0.12223218871005026,0.06624213881139462,0.17198916362698302,0.03743972025333486,0.07830986428936892,0.018831117075164605,0.11012021639866953,,0.06431714336095995,0.1962557561106587,0.11062613191562798
Materials,0.3790180922505828,0.3116019368652716,0.943696746691524,0.07363387451796499,0.20512385044851766,0.35133605942038837,0.4875520073279358,0.44362786508152796,,0.6255827055889678,0.8914257352746824
Real Estate,0.9838644359104768,0.95970930832659,0.7506417471835064,0.9640373595408074,0.5851555842825646,0.7424392679185648,0.8268522844912725,0.6057760561782557,0.9812244034692855,,0.6506717253262835
Utilities,0.8901090519977608,0.8979144289014704,0.36774349113354243,0.5821115455701928,0.7182917542722473,0.9430662611373986,0.7730840772002155,0.9455668203934262,0.8902088046155647,0.92359853930965,
