month,sector,FROM,TO,NET,OWN,hhi,top3,top1,n_firms,sector_share,hhi_lag,top3_lag,sector_share_lag,log_share_lag,hhi_lag_pp,top3_lag_pp,logvol
2018-11,Communication Services,84.81037523721959,97.05938792302047,12.249012685800862,15.189624762780406,0.1833486523722629,0.6186255930312976,0.3407752814974364,12.0,0.0976008478774695,0.1816896661594378,0.6191735269714196,0.0994965835033388,-2.3076319720569676,18.16896661594378,61.91735269714196,2.772571376243208
2018-11,Consumer Discretionary,83.85018677320812,108.73329362042817,24.883106847220056,16.149813226791878,0.1329123895729972,0.477621538189291,0.3358106551037719,57.0,0.1064325703346942,0.1265588077424929,0.4662712886594781,0.1057590697619491,-2.2465916986630083,12.65588077424929,46.62712886594781,2.7486969386767885
2018-11,Consumer Staples,87.44107304836865,53.44042769794803,-34.00064535042062,12.55892695163135,0.0761435634947637,0.3860290128683443,0.1500045694134501,30.0,0.0824526123601838,0.0761294018779463,0.381903522266575,0.0829021025642888,-2.490094854505231,7.61294018779463,38.190352226657495,2.3830519251155398
2018-11,Energy,81.85901959054343,92.96127886937415,11.102259278830733,18.14098040945658,0.1476813171393768,0.562755776334559,0.2959433971768945,19.0,0.0491866391358904,0.1396239561303834,0.5428441117788512,0.0512385322952494,-2.971263446094339,13.962395613038339,54.28441117788512,2.9416800722287144
2018-11,Financials,84.90783051658627,89.1212430086611,4.213412492074829,15.092169483413727,0.0621151516901758,0.3598591517637499,0.1630529049713431,62.0,0.1424876101305004,0.0607850771048158,0.3545155086583113,0.141466215004917,-1.9556943536234537,6.07850771048158,35.45155086583113,2.7287256171416523
2018-11,Health Care,86.73346600404633,85.12285364463946,-1.610612359406874,13.266533995953663,0.0461436154077097,0.2792286654903131,0.1180515784188647,52.0,0.1443320624812305,0.0461875655060305,0.2812219124972613,0.1372401826368456,-1.9860227302084135,4.618756550603051,28.122191249726132,2.624889733497967
2018-11,Industrials,85.59126075022122,104.00197167119043,18.410710920969205,14.408739249778787,0.0314428689506576,0.1910916252900407,0.0866710704987685,66.0,0.0982590488732889,0.0324992657928435,0.1960878096030172,0.0968057592426861,-2.3350487901607,3.2499265792843497,19.60878096030172,2.7056937602682734
2018-11,Information Technology,85.03947954003833,99.20188640095454,14.162406860916205,14.960520459961671,0.0868325036238259,0.4378840220992711,0.1853134872337755,55.0,0.1986506904268977,0.0968116701992257,0.4617808949716598,0.2065176159697754,-1.5773695628598283,9.681167019922569,46.17808949716598,2.8959693145469516
2018-11,Materials,82.56702985724243,102.21725435775261,19.65022450051018,17.432970142757565,0.0787844982648966,0.3683010970774946,0.1874008478586652,21.0,0.0205260813568966,0.0801251895141341,0.3699346870607771,0.0202096364389934,-3.901595736892521,8.01251895141341,36.99346870607771,2.7229807038947254
2018-11,Real Estate,84.73912319315863,48.85463468780896,-35.88448850534967,15.260876806841365,0.05191969112451,0.2761295004537776,0.1073778388354286,30.0,0.0291820808750319,0.0522846344974755,0.2794072160849636,0.0282596733541258,-3.5663194603868313,5.22846344974755,27.94072160849636,2.4372567524071678
