system,dep,conc,fe,var,coef,se,t,p,N,T,within_R2
vol,NET,top3_lag_pp,twoway,top3_lag_pp,-0.3978,0.1712,-2.3229,0.0224,1034,94,0.0538
vol,NET,top3_lag_pp,twoway,log_share_lag,0.2685,3.6836,0.0729,0.9421,1034,94,0.0538
vol,NET,top3_lag_pp,twoway,logvol,-12.7198,5.0351,-2.5262,0.0132,1034,94,0.0538
vol,NET,top3_lag_pp,sector,top3_lag_pp,-0.3613,0.1149,-3.1456,0.0022,1034,94,0.0272
vol,NET,top3_lag_pp,sector,log_share_lag,-0.037,2.9079,-0.0127,0.9899,1034,94,0.0272
vol,NET,top3_lag_pp,sector,logvol,-1.8535,0.8828,-2.0996,0.0385,1034,94,0.0272
vol,d_FROM,d_hhi,FD+time,d_hhi_lag_pp,0.0256,0.0421,0.6075,0.545,1023,93,0.0006
vol,d_FROM,d_hhi,FD+time,d_log_share_lag,-0.6898,1.4278,-0.4831,0.6302,1023,93,0.0006
vol,d_FROM,d_hhi,FD+time,d_logvol,-0.1701,0.6309,-0.2696,0.7881,1023,93,0.0006
vol,d_TO,d_hhi,FD+time,d_hhi_lag_pp,0.4624,0.3036,1.5232,0.1311,1023,93,0.0108
vol,d_TO,d_hhi,FD+time,d_log_share_lag,-11.6182,4.9455,-2.3493,0.021,1023,93,0.0108
vol,d_TO,d_hhi,FD+time,d_logvol,-1.4081,2.2502,-0.6258,0.533,1023,93,0.0108
vol,d_NET,d_hhi,FD+time,d_hhi_lag_pp,0.4368,0.3048,1.4331,0.1552,1023,93,0.01
vol,d_NET,d_hhi,FD+time,d_log_share_lag,-10.9284,4.8552,-2.2509,0.0268,1023,93,0.01
vol,d_NET,d_hhi,FD+time,d_logvol,-1.238,2.0187,-0.6133,0.5412,1023,93,0.01
