,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,FROM
Communication Services,20.85,12.32,7.01,5.18,8.61,6.24,9.49,11.01,9.09,5.92,4.28,79.15
Consumer Discretionary,11.65,21.86,7.62,4.55,7.67,6.23,9.62,11.83,9.19,5.58,4.18,78.14
Consumer Staples,7.64,8.77,21.66,4.62,7.98,8.81,9.35,8.73,9.1,6.64,6.7,78.34
Energy,7.5,7.33,6.29,26.78,9.91,4.9,9.4,6.24,10.08,5.95,5.63,73.22
Financials,8.47,8.4,6.86,7.15,20.6,7.02,12.24,7.28,10.61,6.16,5.2,79.4
Health Care,7.77,7.82,9.53,4.12,8.23,22.75,10.04,8.47,9.75,6.4,5.13,77.25
Industrials,8.14,9.14,7.8,5.59,11.04,7.39,19.4,9.08,11.66,5.83,4.93,80.6
Information Technology,11.4,13.19,8.23,4.04,7.38,6.98,10.12,21.45,8.67,4.87,3.68,78.55
Materials,8.09,8.99,7.83,6.57,9.84,7.49,12.36,7.95,19.8,6.12,4.97,80.2
Real Estate,8.17,7.89,7.43,5.08,8.11,6.55,8.79,6.35,8.38,24.74,8.52,75.26
Utilities,6.85,6.73,8.88,5.75,7.97,6.1,8.06,6.12,8.14,9.98,25.44,74.56
TO,85.68,90.57,77.48,52.64,86.73,67.72,99.47,83.05,94.67,63.44,53.21,
NET,6.53,12.43,-0.85,-20.58,7.33,-9.53,18.88,4.5,14.46,-11.81,-21.35,77.7
