Sector,MktCap_Growth_Score,Revenue_Growth_Score,Weighted_Simple_Variance,Beta_Short,Beta_Long,N_Companies,Date_Start,Date_End,Cluster
Rail Transportation,-0.045454545454545456,0.0,1.5016587429220465,0.0,0.9377689186147973,3,2019-09-30,2025-12-31,0
Regional Banks,-0.14393939393939395,-0.1111111111111111,2.0201765931763362,0.0,0.9888288879894686,6,2019-09-30,2025-12-31,0
Restaurants,-0.09848484848484848,0.05555555555555555,4.329572465176116,0.0,0.9475193361407517,6,2019-09-30,2025-12-31,0
Retail REITs,-0.08181818181818182,-0.06666666666666667,4.371924160205137,0.0,0.9975175886029625,5,2019-09-30,2025-12-31,0
Semiconductor Materials & Equipment,-0.15454545454545454,0.13333333333333333,8.20864022157763,0.0,1.1547567051373433,5,2019-09-30,2025-12-31,0
Semiconductors,-0.1266233766233766,-0.14634146341463414,21.883891080906746,0.0,1.324784616216137,14,2019-09-30,2025-12-31,1
Soft Drinks & Non-alcoholic Beverages,-0.06818181818181818,-0.08333333333333333,2.8725893537073786,0.0,1.0186001277036691,4,2019-09-30,2025-12-31,0
Specialty Chemicals,-0.09090909090909091,0.037037037037037035,4.238071453517465,0.0,0.9221356531231303,9,2019-09-30,2025-12-31,0
Systems Software,-0.09848484848484848,0.058823529411764705,10.363104287460718,0.0,0.9495249257842138,6,2019-09-30,2025-12-31,0
"Technology Hardware, Storage & Peripherals",-0.13636363636363635,0.0,23.39525971849144,0.0,0.2863724331290128,8,2019-09-30,2025-12-31,1
Telecom Tower REITs,-0.09090909090909091,0.2222222222222222,2.587092540718087,0.0,1.021113662643069,3,2019-09-30,2025-12-31,0
Transaction & Payment Processing Services,-0.03896103896103896,0.09523809523809523,8.272173221387051,0.0,0.8672060841730153,7,2019-09-30,2025-12-31,0
