Cause,Effect,P_Value
Oil & Gas Refining & Marketing,Human Resource & Employment Services,5.3907158090734924e-05
Movies & Entertainment,Health Care REITs,0.00017121305584074365
Soft Drinks & Non-alcoholic Beverages,Life Sciences Tools & Services,0.000422638519423855
Paper & Plastic Packaging Products & Materials,Oil & Gas Storage & Transportation,0.0006528513569350648
Paper & Plastic Packaging Products & Materials,Multi-Family Residential REITs,0.0008521827519416692
Personal Care Products,Life Sciences Tools & Services,0.0009512796246262332
Electric Utilities,Diversified Support Services,0.0011637209164410596
Health Care Distributors,Human Resource & Employment Services,0.0011712961225119015
Multi-Family Residential REITs,Construction Machinery & Heavy Transportation Equipment,0.0012270702668384006
Health Care Distributors,Insurance Brokers,0.0012459259425697902
Multi-Family Residential REITs,Casinos & Gaming,0.002130694278275219
Electric Utilities,Electrical Components & Equipment,0.0022126903688698997
Packaged Foods & Meats,Life Sciences Tools & Services,0.0026029019281917864
Insurance Brokers,Life Sciences Tools & Services,0.0026526119477345476
Restaurants,"Hotels, Resorts & Cruise Lines",0.003335102582938294
Oil & Gas Storage & Transportation,Casinos & Gaming,0.004061062141847157
Passenger Airlines,Casinos & Gaming,0.004183450945180574
Soft Drinks & Non-alcoholic Beverages,Biotechnology,0.004327091163808262
Distributors,Oil & Gas Equipment & Services,0.004341332195557011
Pharmaceuticals,Distributors,0.00485000656069058
Multi-Family Residential REITs,Industrial Machinery & Supplies & Components,0.005300734118047
Life Sciences Tools & Services,Personal Care Products,0.005320425782363137
Pharmaceuticals,Restaurants,0.005332815439576726
Electric Utilities,Specialty Chemicals,0.005615262431171212
Oil & Gas Storage & Transportation,Air Freight & Logistics,0.005860379756225381
Pharmaceuticals,Automotive Retail,0.005872695437004641
Health Care REITs,Air Freight & Logistics,0.006085214338621342
Consumer Staples Merchandise Retail,Health Care REITs,0.006181197903035162
Multi-Utilities,Specialty Chemicals,0.006439082544281432
Investment Banking & Brokerage,Retail REITs,0.006544023629148088
Automobile Manufacturers,Multi-line Insurance,0.006611107605200949
Retail REITs,Casinos & Gaming,0.006614321955178749
Consumer Finance,Multi-Family Residential REITs,0.006847870476069402
Application Software,"Technology Hardware, Storage & Peripherals",0.006907937017533282
Building Products,Health Care REITs,0.006991469215442915
Communications Equipment,Casinos & Gaming,0.007203589914894043
Casinos & Gaming,Passenger Airlines,0.007215460324848055
Health Care Services,Restaurants,0.007670971333192957
Managed Health Care,Health Care REITs,0.007964016082534954
Building Products,Electrical Components & Equipment,0.008070942849084616
Multi-Utilities,Consumer Staples Merchandise Retail,0.008417127967563389
Transaction & Payment Processing Services,Multi-Family Residential REITs,0.00941425539117748
Retail REITs,Specialty Chemicals,0.009537448935802622
Regional Banks,Oil & Gas Storage & Transportation,0.009648302094043179
Human Resource & Employment Services,Oil & Gas Storage & Transportation,0.00972352689780196
Electric Utilities,Building Products,0.010078149116437207
Multi-Utilities,Diversified Support Services,0.010239058282995792
Biotechnology,"Technology Hardware, Storage & Peripherals",0.010250274872593619
Multi-Utilities,Life Sciences Tools & Services,0.01058368156383305
Transaction & Payment Processing Services,Regional Banks,0.010708374888229004
Electric Utilities,Restaurants,0.010874063761806404
Biotechnology,Automobile Manufacturers,0.010889385745110666
Life Sciences Tools & Services,Multi-Family Residential REITs,0.011093191365067132
Rail Transportation,Restaurants,0.01155372882264753
Packaged Foods & Meats,Health Care Services,0.011721362098085898
Retail REITs,Paper & Plastic Packaging Products & Materials,0.01192804743350309
Property & Casualty Insurance,Life Sciences Tools & Services,0.012042949742815825
Electrical Components & Equipment,Health Care REITs,0.012193067490334338
Multi-line Insurance,Transaction & Payment Processing Services,0.012204326523667071
Fertilizers & Agricultural Chemicals,Financial Exchanges & Data,0.012288946965500345
Multi-Utilities,Industrial Machinery & Supplies & Components,0.012420040866290033
Multi-Utilities,Homebuilding,0.012670760669891229
Communications Equipment,Electronic Equipment & Instruments,0.012738139722453303
Household Products,Automobile Manufacturers,0.012788682984585752
Packaged Foods & Meats,Biotechnology,0.012826608106382599
Life Sciences Tools & Services,Soft Drinks & Non-alcoholic Beverages,0.012829009622221879
Health Care Distributors,Multi-line Insurance,0.013268312078792395
Electrical Components & Equipment,Multi-Family Residential REITs,0.013452215416659639
Soft Drinks & Non-alcoholic Beverages,Consumer Staples Merchandise Retail,0.013455860196865743
Retail REITs,Homebuilding,0.013465797472359998
Fertilizers & Agricultural Chemicals,Consumer Staples Merchandise Retail,0.013498949557635993
