Sector,MktCap_Growth_Score,Revenue_Growth_Score,Weighted_Simple_Variance,Beta_Short,Beta_Long,N_Companies,Date_Start,Date_End
Aerospace & Defense,-0.125,0.14583333333333334,18.726946956655116,0.0,1.1028864027048682,12,2019-09-30,2026-06-30
Air Freight & Logistics,-0.14583333333333334,0.0,1.8256264503880573,0.0,0.9684940093124302,4,2019-09-30,2026-06-30
"Apparel, Accessories & Luxury Goods",-0.10416666666666667,0.0,22.985952170624824,0.0,0.9965612580392424,4,2019-09-30,2026-06-30
Application Software,-0.026515151515151516,0.0,7.750871584154784,0.0,1.1416576098925362,11,2019-09-30,2026-06-30
Asset Management & Custody Banks,-0.058333333333333334,0.025,10.723170633500246,0.0,1.0483623362026033,10,2019-09-30,2026-06-30
Automobile Manufacturers,-0.06944444444444445,-0.08333333333333333,16.767332461593693,0.0,1.8651533715483561,3,2019-09-30,2026-06-30
Automotive Retail,0.041666666666666664,-0.16666666666666666,9.935587090121139,0.0,0.9173088586944723,3,2019-09-30,2026-06-30
Biotechnology,-0.09375,-0.03125,7.6450508192724556,0.0,0.8057590576498203,8,2019-09-30,2026-06-30
Broadcasting,-0.08333333333333333,-0.16666666666666666,11.26149934077847,0.0,1.3794243467696885,3,2019-09-30,2026-06-30
Building Products,-0.12105263157894737,-0.15625,10.0846747635664,0.0,0.8563178447394192,8,2019-09-30,2026-06-30
Casinos & Gaming,-0.17708333333333334,0.125,4.850084673582828,0.0,1.036710260880736,4,2019-09-30,2026-06-30
Communications Equipment,-0.08333333333333333,0.1875,19.19102969139517,0.0,1.0316755452952886,4,2019-09-30,2026-06-30
Construction Machinery & Heavy Transportation Equipment,-0.0625,0.0625,4.730838591801242,0.0,1.3592823857084162,4,2019-09-30,2026-06-30
Consumer Finance,-0.08333333333333333,-0.3333333333333333,2.4405936019417465,0.0,0.9524824449152076,3,2019-09-30,2026-06-30
Consumer Staples Merchandise Retail,0.0,-0.05,6.542142786554755,0.0,0.237912551344952,5,2019-09-30,2026-06-30
Distributors,-0.1527777777777778,0.0,1.1752137206137834,0.0,1.0187938046613911,3,2019-09-30,2026-06-30
Diversified Banks,-0.011904761904761904,-0.07142857142857142,5.25187080345028,0.0,0.9308846260763595,7,2019-09-30,2026-06-30
Diversified Support Services,-0.013888888888888888,0.0,3.7895261568938055,0.0,0.9003215857274972,3,2019-09-30,2026-06-30
Electric Utilities,-0.10736196319018405,-0.07142857142857142,12.843257097593053,0.0,1.050516586850625,14,2019-09-30,2026-06-30
Electrical Components & Equipment,-0.06666666666666667,0.05,3.136603767841476,0.0,0.9222458059942007,5,2019-09-30,2026-06-30
Electronic Equipment & Instruments,-0.1,-0.05,3.9225170997368175,0.0,0.7888676540595913,5,2019-09-30,2026-06-30
Environmental & Facilities Services,-0.02531645569620253,0.0,1.5614027823876437,0.0,0.9824149023014036,4,2019-09-30,2026-06-30
Fertilizers & Agricultural Chemicals,-0.09375,-0.0625,10.708970809879721,0.0,0.8137312805627565,4,2019-09-30,2026-06-30
Financial Exchanges & Data,-0.013888888888888888,0.0,5.908359695017832,0.0,0.8538588675115831,9,2019-09-30,2026-06-30
Health Care Distributors,-0.03125,0.0625,6.932060704206035,0.0,0.9712580274179127,4,2019-09-30,2026-06-30
Health Care Equipment,-0.0379746835443038,0.014705882352941176,6.849632829561659,0.0,1.0121671324830095,17,2019-09-30,2026-06-30
Health Care REITs,-0.013888888888888888,-0.16666666666666666,10.191845249425041,0.0,0.93752905842568,3,2019-09-30,2026-06-30
Health Care Services,-0.008333333333333333,0.2,3.4148756248423062,0.0,1.2318469984626756,5,2019-09-30,2026-06-30
Health Care Supplies,-0.1111111111111111,0.0,5.585429104129537,0.0,1.0192355185315285,3,2019-09-30,2026-06-30
Homebuilding,-0.08333333333333333,0.0625,5.584656543726028,0.0,1.0299000254236745,4,2019-09-30,2026-06-30
"Hotels, Resorts & Cruise Lines",-0.0481283422459893,0.125,5.9551260382423505,0.0,0.8159207017600625,8,2019-09-30,2026-06-30
Household Products,-0.010416666666666666,0.0,4.366236948879726,0.0,0.9642954318116016,4,2019-09-30,2026-06-30
Human Resource & Employment Services,0.0,0.08333333333333333,7.39442591892762,0.0,0.843647874008335,3,2019-09-30,2026-06-30
IT Consulting & Other Services,-0.06666666666666667,0.0,7.518866728922795,0.0,0.662448214464291,5,2019-09-30,2026-06-30
Industrial Machinery & Supplies & Components,-0.05089820359281437,0.017857142857142856,7.86102971020505,0.0,0.993160670158389,14,2019-09-30,2026-06-30
Insurance Brokers,0.008333333333333333,0.0,3.723398047543686,0.0,0.9024041168696072,5,2019-09-30,2026-06-30
Interactive Media & Services,-0.041666666666666664,0.0,11.50149627709461,0.0,1.0871900697845727,4,2019-09-30,2026-06-30
Internet Services & Infrastructure,-0.11956521739130435,-0.1875,16.069649273542286,0.0,2.0226995230216906,4,2019-09-30,2026-06-30
Investment Banking & Brokerage,-0.14583333333333334,0.0,4.462121176813579,0.0,0.9963520091734426,4,2019-09-30,2026-06-30
Life & Health Insurance,-0.075,0.05,1.6638924940885353,0.0,0.9505952239922079,5,2019-09-30,2026-06-30
Life Sciences Tools & Services,-0.07291666666666667,0.03125,1.6179125434951287,0.0,0.8342424552634866,8,2019-09-30,2026-06-30
Managed Health Care,0.0,-0.05,2.7977944283233653,0.0,0.7988014860350078,5,2019-09-30,2026-06-30
Movies & Entertainment,0.03333333333333333,-0.0625,17.134748251011274,0.0,0.8107284774532257,4,2019-09-30,2026-06-30
Multi-Family Residential REITs,-0.09375,0.041666666666666664,1.3239619256755024,0.0,0.9988895577757922,4,2019-09-30,2026-06-30
Multi-Utilities,-0.027777777777777776,0.08333333333333333,3.0222607598527027,0.0,1.0509281723489297,12,2019-09-30,2026-06-30
Multi-line Insurance,-0.013888888888888888,0.0,1.6797953482578418,0.0,1.0818188468086487,3,2019-09-30,2026-06-30
Oil & Gas Equipment & Services,-0.041666666666666664,0.08333333333333333,5.520285564637998,0.0,0.9703083725827985,3,2019-09-30,2026-06-30
Oil & Gas Exploration & Production,-0.13020833333333334,-0.03125,8.70328293378328,0.0,0.9444688014266347,8,2019-09-30,2026-06-30
Oil & Gas Refining & Marketing,0.027777777777777776,-0.08333333333333333,7.115068448800088,0.0,0.9945267260898387,3,2019-09-30,2026-06-30
Oil & Gas Storage & Transportation,-0.10416666666666667,0.0625,22.299498284596563,0.0,0.9578549817528319,4,2019-09-30,2026-06-30
Packaged Foods & Meats,-0.022727272727272728,-0.11363636363636363,3.422112191928477,0.0,1.0261739113649708,11,2019-09-30,2026-06-30
Paper & Plastic Packaging Products & Materials,-0.03333333333333333,-0.05,3.486066280986688,0.0,1.023399243166761,5,2019-09-30,2026-06-30
Passenger Airlines,-0.041666666666666664,-0.16666666666666666,6.068726175393547,0.0,1.0324945574775752,3,2019-09-30,2026-06-30
Personal Care Products,0.017543859649122806,-0.08333333333333333,7.351769128397283,0.0,0.5632074190789965,3,2019-09-30,2026-06-30
Pharmaceuticals,-0.07142857142857142,0.0,14.302062264580082,0.0,1.1221437633598048,7,2019-09-30,2026-06-30
Property & Casualty Insurance,-0.010416666666666666,-0.0625,2.084868314306806,0.0,1.0065856287611894,8,2019-09-30,2026-06-30
Rail Transportation,-0.1111111111111111,-0.08333333333333333,1.5829004465936671,0.0,0.9190031407823533,3,2019-09-30,2026-06-30
Regional Banks,-0.1111111111111111,-0.20833333333333334,2.503259539621211,0.0,0.9907901483803268,6,2019-09-30,2026-06-30
Restaurants,-0.09722222222222222,0.0,2.7161953044474285,0.0,1.0069591164456715,6,2019-09-30,2026-06-30
Retail REITs,-0.09166666666666666,-0.0625,5.043736515588577,0.0,1.052835591256402,5,2019-09-30,2026-06-30
Semiconductor Materials & Equipment,-0.175,0.15,10.457258469774173,0.0,1.1719398488269774,5,2019-09-30,2026-06-30
Semiconductors,-0.10416666666666667,-0.03571428571428571,20.474223639435596,0.0,1.0667874526126313,14,2019-09-30,2026-06-30
Soft Drinks & Non-alcoholic Beverages,-0.07291666666666667,0.0625,3.973987785070475,0.0,0.968201783533493,4,2019-09-30,2026-06-30
Specialty Chemicals,-0.10648148148148148,0.05555555555555555,5.704462832858614,0.0,0.7076985735452744,9,2019-09-30,2026-06-30
Systems Software,-0.125,-0.041666666666666664,11.664863960988752,0.0,0.6563343828815941,6,2019-09-30,2026-06-30
"Technology Hardware, Storage & Peripherals",-0.109375,-0.0625,17.479769199107693,0.0,0.27098229054116496,8,2019-09-30,2026-06-30
Telecom Tower REITs,-0.1388888888888889,0.0,2.358946283671912,0.0,1.0168654383797613,3,2019-09-30,2026-06-30
Transaction & Payment Processing Services,-0.041666666666666664,-0.03571428571428571,8.6974012672352,0.0,0.8655013147175438,7,2019-09-30,2026-06-30
