Sector,HHI_MktCap,N_Companies,Top_Company,Top_Share
Aerospace & Defense,0.1491601086325924,12,GE,0.2754707017727383
Air Freight & Logistics,0.32989034338383394,4,UPS,0.40713714450265887
"Apparel, Accessories & Luxury Goods",0.3262667029345335,4,NKE,0.46532113120662555
Application Software,0.22394913300702043,11,ORCL,0.4185491280684241
Asset Management & Custody Banks,0.15074639164856224,10,BLK,0.26534386340869864
Automobile Manufacturers,0.8682047974437863,3,TSLA,0.9304569250664315
Automotive Retail,0.4625938053836743,3,ORLY,0.5552128310801944
Biotechnology,0.24747020303469286,8,ABBV,0.416001513580719
Broadcasting,0.6102922437104329,3,WBD,0.7630292613908046
Building Products,0.23336537684520986,8,TT,0.33627982779926685
Casinos & Gaming,0.3479254899074292,4,LVS,0.5131852890595978
Communications Equipment,0.44840967057005093,4,CSCO,0.6016383618606871
Construction Machinery & Heavy Transportation Equipment,0.5263956499008606,4,CAT,0.7028544880343105
Consumer Finance,0.4799192684430993,3,AXP,0.6071133201946105
Consumer Staples Merchandise Retail,0.48808239039216933,5,WMT,0.6331280811529855
Distributors,0.3915627191334873,3,GPC,0.5291763944835628
Diversified Banks,0.2622179118811256,7,JPM,0.43365914444918974
Diversified Support Services,0.4779512425360034,3,CTAS,0.6355990905970249
Electric Utilities,0.09598823482788635,14,SO,0.15695301652192745
Electrical Components & Equipment,0.2884888902014549,5,ETN,0.44348879507227107
Electronic Equipment & Instruments,0.2691996320079727,5,KEYS,0.4017644751813667
Environmental & Facilities Services,0.3399517469179626,4,WM,0.454442879611264
Fertilizers & Agricultural Chemicals,0.533920393046174,4,CTVA,0.6970310321402121
Financial Exchanges & Data,0.16086589312592134,9,SPGI,0.24541369783233874
Health Care Distributors,0.32351679549508594,4,MCK,0.4262941782879243
Health Care Equipment,0.10808040643721521,17,ABT,0.17927386039169746
Health Care REITs,0.5795297996815595,3,WELL,0.7306030346831253
Health Care Services,0.34168646849890755,5,CVS,0.49843249594476957
Health Care Supplies,0.37240836460284427,3,WST,0.49314561500328474
Homebuilding,0.2908053309855929,4,DHI,0.4179977943299893
"Hotels, Resorts & Cruise Lines",0.16537189491570017,8,BKNG,0.25363854364477123
Household Products,0.3531959356201457,4,CL,0.5071319802926242
Human Resource & Employment Services,0.5459331926758092,3,ADP,0.6864425020613594
IT Consulting & Other Services,0.5554759789843511,5,IBM,0.7144792337674527
Industrial Machinery & Supplies & Components,0.12051602903611208,14,PH,0.24261926443799522
Insurance Brokers,0.27702797476073704,5,AON,0.3782360223387425
Interactive Media & Services,0.3471243446609937,4,GOOGL,0.39556735232548773
Internet Services & Infrastructure,0.717533303436393,4,PLTR,0.8417089594691901
Investment Banking & Brokerage,0.33527174655378544,4,MS,0.4045413361977358
Life & Health Insurance,0.24280865803319748,5,AFL,0.31502938229940863
Life Sciences Tools & Services,0.25464508919815376,8,TMO,0.39194754947549143
Managed Health Care,0.4977689486795334,5,UNH,0.6804282073676381
Movies & Entertainment,0.4599070981746892,4,NFLX,0.5873663156369349
Multi-Family Residential REITs,0.25614492531740224,4,ESS,0.30754029508718184
Multi-Utilities,0.14811102253131195,12,NEE,0.31368713675320037
Multi-line Insurance,0.3926359218310824,3,AIG,0.517138234576552
Oil & Gas Equipment & Services,0.3702233600977591,3,SLB,0.45281289244498046
Oil & Gas Exploration & Production,0.1729736391162668,8,COP,0.3038562242983349
Oil & Gas Refining & Marketing,0.3339003761379924,3,VLO,0.3494887411488349
Oil & Gas Storage & Transportation,0.26087451863423633,4,WMB,0.3313507396082879
Packaged Foods & Meats,0.16806537522087103,11,MDLZ,0.3359439656129794
Paper & Plastic Packaging Products & Materials,0.20813648200988544,5,SW,0.24755005247601983
Passenger Airlines,0.37210752160671745,3,DAL,0.47058382528618203
Personal Care Products,0.7478022809778523,3,PG,0.8583938042894219
Pharmaceuticals,0.3120614586133603,7,LLY,0.464724615125938
Property & Casualty Insurance,0.17474143212080334,8,CB,0.257239256711591
Rail Transportation,0.3787525770390669,3,UNP,0.504497177227991
Regional Banks,0.17833741654639798,6,FITB,0.25414197415634676
Restaurants,0.2983692398361682,6,MCD,0.4473257471481204
Retail REITs,0.3092791611776513,5,SPG,0.41750183127221907
Semiconductor Materials & Equipment,0.3093509629760816,5,AMAT,0.3603285862560998
Semiconductors,0.2689051515216709,14,NVDA,0.4583366439739676
Soft Drinks & Non-alcoholic Beverages,0.32922976486461386,4,KO,0.4556124257620699
Specialty Chemicals,0.20400079604344246,9,SHW,0.30636835529646145
Systems Software,0.6474385742319314,6,MSFT,0.797450987847993
"Technology Hardware, Storage & Peripherals",0.7356067087642272,8,AAPL,0.8546665652746804
Telecom Tower REITs,0.442575019810973,3,AMT,0.5952999294225232
Transaction & Payment Processing Services,0.41923200615503176,7,V,0.5132774732096375
