Sector,Weighted_Simple_Variance_IS,Weighted_Simple_Variance_OOS
Aerospace & Defense,12.4947150721079,27.056978648997127
Air Freight & Logistics,4.049798397645996,21.528284553037214
"Apparel, Accessories & Luxury Goods",6.877799004920681,50.355061246799515
Application Software,9.858715862771245,11.443601527114309
Asset Management & Custody Banks,11.098385433900967,17.093812926549553
Automobile Manufacturers,32.62893729210757,12.317468383368505
Automotive Retail,6.439131266907629,15.582126358989363
Biotechnology,11.288726517774426,14.394527994622612
Broadcasting,7.660355241241654,32.07640322639454
Building Products,31.656842653884926,23.30747032727045
Casinos & Gaming,13.735328657741547,11.26972011543382
Communications Equipment,17.42586105136719,9.554232799015669
Construction Machinery & Heavy Transportation Equipment,2.025721487704606,17.693420547086372
Consumer Finance,6.743562379516793,2.685080374965248
Consumer Staples Merchandise Retail,4.4550792979314755,11.697053551658831
Distributors,4.3786157054597075,7.249295378280505
Diversified Banks,4.805001940346174,14.011403270916423
Diversified Support Services,8.571479502642527,8.428846036379035
Electric Utilities,3.751609658134954,9.102783933912283
Electrical Components & Equipment,2.643354382280807,5.234738443284082
Electronic Equipment & Instruments,5.092529081158347,19.76932512127503
Environmental & Facilities Services,0.5579626515309097,5.20746964793419
Fertilizers & Agricultural Chemicals,7.3200425166354846,20.549668005532553
Financial Exchanges & Data,3.7216310028489836,12.219601874899388
Health Care Distributors,8.656243170874221,14.792935282850308
Health Care Equipment,7.229220335222422,9.781823357987841
Health Care REITs,6.083048086105094,16.07775396347752
Health Care Services,3.3864973071220836,9.400805184261435
Health Care Supplies,7.292021435507612,5.148528176808339
Homebuilding,3.0289882428301924,9.267356500944167
"Hotels, Resorts & Cruise Lines",8.567797231776517,15.356286446636235
Household Products,4.770034269981923,3.4206384322670975
Human Resource & Employment Services,5.669083817069777,2.82191442345816
IT Consulting & Other Services,11.249373184113509,26.395028877321135
Industrial Machinery & Supplies & Components,6.998002710953506,10.046097802272904
Insurance Brokers,6.494775531553574,7.339476684526283
Interactive Media & Services,8.94420908707846,21.900775291810614
Internet Services & Infrastructure,9.363721114943674,128.24776463675647
Investment Banking & Brokerage,1.1498194668888557,13.676688964638656
Life & Health Insurance,1.4081078924874333,13.957541986852613
Life Sciences Tools & Services,0.9677446627915366,2.1588987132421757
Managed Health Care,4.318350739426479,8.771672210192532
Movies & Entertainment,7.883157940154486,29.953802692857703
Multi-Family Residential REITs,4.022354420769877,1.7239697228702129
Multi-Utilities,5.786221874589353,5.307330690422775
Multi-line Insurance,4.353321148538465,7.4166614863778335
Oil & Gas Equipment & Services,1.2219853870297788,15.00982854164228
Oil & Gas Exploration & Production,5.401758299580785,13.597131605659015
Oil & Gas Refining & Marketing,14.085489939550545,8.06953785275839
Oil & Gas Storage & Transportation,33.501118584632245,8.819531545972152
Packaged Foods & Meats,3.1080512148250965,10.602032015867607
Paper & Plastic Packaging Products & Materials,4.213744797561551,5.554903886780661
Passenger Airlines,4.438373278956492,11.808582875440903
Personal Care Products,7.626933587266685,8.077908203738659
Pharmaceuticals,17.881319016174125,13.171925727005672
Property & Casualty Insurance,7.232696377904327,4.079700650404607
Rail Transportation,1.392640550435083,4.666501010028419
Regional Banks,5.169531805376335,8.240282262688034
Restaurants,5.104046590522508,9.243885638269061
Retail REITs,3.079613602613276,2.5735081656907655
Semiconductor Materials & Equipment,34.37545095814719,30.408517606005034
Semiconductors,19.8030897548083,61.75884111759118
Soft Drinks & Non-alcoholic Beverages,4.239866574736081,14.967268182917211
Specialty Chemicals,10.36709797738682,19.65171246161037
Systems Software,10.938472288401474,15.72316885179832
"Technology Hardware, Storage & Peripherals",30.448213824775532,149.5980269180014
Telecom Tower REITs,2.055986000290076,1.3323874838221854
Transaction & Payment Processing Services,9.107450763941594,12.830584634766026
