,Aerospace & Defense,Air Freight & Logistics,"Apparel, Accessories & Luxury Goods",Application Software,Asset Management & Custody Banks,Automobile Manufacturers,Automotive Retail,Biotechnology,Broadcasting,Building Products,Casinos & Gaming,Communications Equipment,Construction Machinery & Heavy Transportation Equipment,Consumer Finance,Consumer Staples Merchandise Retail,Distributors,Diversified Banks,Diversified Support Services,Electric Utilities,Electrical Components & Equipment,Electronic Equipment & Instruments,Environmental & Facilities Services,Fertilizers & Agricultural Chemicals,Financial Exchanges & Data,Health Care Distributors,Health Care Equipment,Health Care REITs,Health Care Services,Health Care Supplies,Homebuilding,"Hotels, Resorts & Cruise Lines",Household Products,Human Resource & Employment Services,IT Consulting & Other Services,Industrial Machinery & Supplies & Components,Insurance Brokers,Interactive Media & Services,Internet Services & Infrastructure,Investment Banking & Brokerage,Life & Health Insurance,Life Sciences Tools & Services,Managed Health Care,Movies & Entertainment,Multi-Family Residential REITs,Multi-Utilities,Multi-line Insurance,Oil & Gas Equipment & Services,Oil & Gas Exploration & Production,Oil & Gas Refining & Marketing,Oil & Gas Storage & Transportation,Packaged Foods & Meats,Paper & Plastic Packaging Products & Materials,Passenger Airlines,Personal Care Products,Pharmaceuticals,Property & Casualty Insurance,Rail Transportation,Regional Banks,Restaurants,Retail REITs,Semiconductor Materials & Equipment,Semiconductors,Soft Drinks & Non-alcoholic Beverages,Specialty Chemicals,Systems Software,"Technology Hardware, Storage & Peripherals",Telecom Tower REITs,Transaction & Payment Processing Services
Aerospace & Defense,1.0,0.6775300058925892,0.8156704804411943,0.6734648836052683,0.3947630783546665,0.8719377657248998,0.18932412768460527,0.12266526861763136,0.653923979940896,0.39483493461171265,0.31305610930921657,0.39698458393769187,0.6120681924998554,0.43636425213467267,0.2189755540430854,0.5381693420423007,0.19769602621369595,0.33571666848865633,0.8257718504498708,0.5066670172067806,0.7728497784046187,0.471505295805154,0.6122436649876208,0.8177194429683654,0.7495069199769783,0.6724040740511777,0.6832192620859443,0.562217606109646,0.1879417024235234,0.670753539252309,0.42025348468232737,0.509790687852023,0.6196572513467958,0.5146930466643002,0.4004081115529251,0.6143369775828167,0.4248875082131325,0.46351109507753807,0.25629346150892657,0.5769065228541544,0.5393756129491396,0.081980089455881,0.11711425550670018,0.6713858141579606,0.7109277222848519,0.2739688610755692,0.2615148729886825,0.4443688938913265,0.7599485109440897,0.43101900167357565,0.22653041643576188,0.3513808110501111,0.48312496737419086,0.81353341454083,0.13655789688114495,0.6566196596364622,0.8671871086147052,0.42044368085204453,0.24368526080364145,0.7780024077270178,0.4945228795218896,0.6694555440659171,0.7279810088709038,0.5245296326621145,0.3382647987943044,0.2768086807299956,0.6201206743322223,0.04930987053705411
Air Freight & Logistics,0.12731583755064513,1.0,0.2809368789510519,0.3264640223522046,0.4265089683573214,0.17637887195831808,0.024169327312473347,0.10765784583527695,0.2318307440279154,0.41945319143210613,0.17889420090328484,0.10096575319970684,0.24685818239806862,0.31757491223320994,0.7016072341377207,0.39121820306834076,0.26707348985063073,0.4966033672053781,0.09677040618083102,0.34384821627194095,0.17005593069838362,0.33320403686910216,0.26290833661290547,0.4879193026889763,0.25318075036307935,0.6460973364674776,0.005890541990716085,0.8335955949915131,0.05026355856312434,0.061514035209683106,0.1427067387332261,0.4254629811558397,0.3027305854200845,0.3389780168004091,0.3820902553228179,0.046908483191221775,0.49845692507406036,0.7721556739769071,0.4789577542066864,0.020759877954828924,0.07275769773514514,0.7371494227363925,0.8583849730316929,0.07393618671714618,0.17404503546316447,0.026804968101721817,0.10991127285839414,0.034023783069025725,0.1192824140905902,0.004863132857347091,0.30141998942901327,0.3324898843275775,0.14299888587703125,0.30699911714005507,0.6856717490869382,0.03432432726907093,0.24219928094745014,0.103058462756737,0.16871841207196214,0.017704850705017795,0.10886171009364717,0.9171460772800227,0.26416173707920404,0.13299562086038402,0.5274036518667038,0.31960375617674736,0.7774954081012218,0.4068224188111639
"Apparel, Accessories & Luxury Goods",0.1436085476158959,0.6122327548168275,1.0,0.48397794591420495,0.6041186288913667,0.3018639238478441,0.8131527022561931,0.7162327773031225,0.44909516811773403,0.5366311226297348,0.5651706656185111,0.2187474879052512,0.2635131963530124,0.1466653244781702,0.3396333705975375,0.5244699913334181,0.172629175710295,0.7738690435886232,0.043560819096475085,0.5429054714092794,0.7658727894815455,0.5744825005945208,0.2885723479640262,0.6292994751862635,0.1344502091247865,0.5203545761519427,0.10502257772576588,0.6250075724023278,0.5681015988872655,0.38769261854967174,0.37217118647584535,0.6013262270732029,0.7144934293406694,0.4479315072978314,0.3784594056675128,0.8019377345319697,0.5088529781170257,0.436384177203989,0.6411240095430728,0.42907757639730987,0.4536190314270754,0.6817505884989552,0.2900982808574629,0.43821360632140693,0.0501527258133796,0.24541233884549535,0.23331269415651856,0.434574910121138,0.2920626336089438,0.24200985519036905,0.44470957505065034,0.35421988834794205,0.06561858754780228,0.5058265292167106,0.044795219197843614,0.10950871452964485,0.0731964767298871,0.5337349647794147,0.5924353569860041,0.0761424083153024,0.5389444393572995,0.1890433698529241,0.1252542242417507,0.6349519855285491,0.7583400710573156,0.646656082651553,0.7864423328131018,0.3971866618930995
Application Software,0.4852430271473479,0.23075771148867164,0.39860925022918414,1.0,0.11075834217606122,0.14443926289752512,0.9783154739818034,0.6394301354784024,0.08978509648849267,0.9471439682668292,0.06696391481926303,0.31411401512870046,0.15646878372721842,0.04128057022654129,0.2670223797039171,0.718413178332701,0.08693630683250553,0.7520412226603904,0.053597467764009206,0.1630462527527417,0.7420931654586556,0.9482654660484151,0.3846743883245366,0.9366626759029644,0.471718227198366,0.6712120322279023,0.14294035643838957,0.9072717671843046,0.2475347280661266,0.6019932083054583,0.08021510405992201,0.45286668310780187,0.712687728320234,0.3693600147627941,0.2433754947706008,0.8202801752608353,0.03390130939206368,0.1739413252797927,0.06925228218277742,0.25721836303979856,0.2814497184901641,0.3310198497440766,0.1209279648967694,0.355051677055103,0.02395649108979223,0.31472824767355434,0.2036082650035247,0.30224629887174637,0.5591493990110197,0.26974432900717543,0.9396736285409759,0.30969216864392357,0.004359062101655252,0.7704729884879503,0.029900685693493398,0.6998203713023308,0.134481600743604,0.08526107667725538,0.9130047664264278,0.1869755756233962,0.35643979519561686,0.09515661682536083,0.2864324846081171,0.48179330913257734,0.40535739379785984,0.013913247744939265,0.2712434113252422,0.13508204005623936
Asset Management & Custody Banks,0.5635614173394144,0.8338596225002126,0.916894114491178,0.23663623098150338,1.0,0.7814978887683262,0.744422538413324,0.4463890654057322,0.3360863043264818,0.03815280903987008,0.25185464654748313,0.03007903114262472,0.4459796759232906,0.4206022768420363,0.6090064010708673,0.8980399284099089,0.43807217608324933,0.49415666880429576,0.10430575729059284,0.3781535244091451,0.45531357250822435,0.6837073952454542,0.4480327133053458,0.3746153403176665,0.05688105091715953,0.8927063267892744,0.5248128569100001,0.5815248969536937,0.4777218224980555,0.25136300732267297,0.6967852340211469,0.622433734800203,0.7932402846678194,0.6576605110379456,0.7875266549604004,0.902312902338138,0.6348377996808902,0.8425242049322421,0.5144388372596,0.6650814410472699,0.8714892665198283,0.2626972784668675,0.2118350032492892,0.6127276193725291,0.03223378831464605,0.3996874036206387,0.07826293474693767,0.20947672619525062,0.27697013578752655,0.1916550794115452,0.5732677039971676,0.17585995148790687,0.1551496963692063,0.9448691094027262,0.04033916635650145,0.5580771461433675,0.2760854218807043,0.8271627727032733,0.23630061321095852,0.1419899371082306,0.7264256517612593,0.7572100442554341,0.3835972528663013,0.6880667320355338,0.9269324174525316,0.4261612650599377,0.4188096127729495,0.03883395230253388
Automobile Manufacturers,0.5729517048172106,0.4758021225415744,0.2839598899585961,0.16231515826278195,0.83473126343959,1.0,0.6618728419921855,0.027282985154027464,0.06987371211551947,0.44045292811545006,0.6356588606153479,0.5630180201492337,0.7525655689576621,0.16887208849689062,0.9790663884766544,0.5314972227659374,0.12304754919944505,0.5200437732678882,0.16968950556603798,0.9889328480393571,0.8439857176291671,0.8741887094298231,0.42800229511126975,0.384381634556512,0.21746604855788304,0.4938950694802777,0.25157948849124817,0.8350739062132365,0.4062217707316289,0.28681883362751986,0.06640490007692416,0.006852848822033577,0.6152618697418105,0.26857375161860403,0.7835593560540324,0.7772646984097002,0.6094676536852367,0.3168866091236109,0.16419290682045148,0.3208209377710767,0.27121177306338906,0.8228596731490143,0.8224204103422514,0.46072505743181735,0.4207442355500962,0.28034935832316205,0.3720059741807591,0.14669031944666858,0.2712864691606632,0.26113873217751193,0.20307560007948613,0.667709491607979,0.0369734680572595,0.08172354606886492,0.8928839113751513,0.45523318493922743,0.6004029685629988,0.10113579481715644,0.33611981420907017,0.26761078697054685,0.8022275911936145,0.9098016777058829,0.31857981387416884,0.5707356215487595,0.405295982698593,0.7316021684795535,0.09173686049794276,0.5300502976938923
Automotive Retail,0.33425831661162003,0.41899551132633683,0.24303488866930995,0.03836299266608702,0.13381815351740578,0.24016597890156222,1.0,0.22485880161267194,0.34160867474314494,0.5292609473218765,0.644775718673835,0.08878384324310128,0.12190089536617627,0.33250703693040623,0.6587268608993458,0.20449279647615792,0.5534894220427462,0.318855492106816,0.23165142156554258,0.5113443056744486,0.19126044824034205,0.4777468344292868,0.6260640986410766,0.17749120250184328,0.06696243286888645,0.32259939973233487,0.214054431393127,0.21605097131010573,0.389663921223366,0.6867248434473028,0.24345026357014016,0.5444480563636814,0.0703079929195147,0.28178673227441225,0.7633048216120752,0.2997200685973402,0.19661370367818123,0.16236751754464157,0.3268479578657809,0.5279339608478648,0.7517712152661538,0.032671528348304835,0.03714052638275603,0.4784929438314002,0.27447483684647156,0.780767485503361,0.2232904006762838,0.7287044957296485,0.20001312823558548,0.7871929641333191,0.38926050578521776,0.2400937295176303,0.19381914411538936,0.7312110211380398,0.0031245731307943023,0.8000142985978682,0.36801966856489177,0.7762339216056287,0.19668649363709828,0.5287750307007657,0.4409558997985992,0.11270746476150871,0.1876310792416307,0.9567656799244181,0.0237215551601832,0.4745521459805201,0.15495688035559668,0.13974485123425034
Biotechnology,0.12286545401196872,0.29574032869018513,0.6789556182741099,0.711596739200868,0.8934882343062014,0.788480362172028,0.35317281901815034,1.0,0.4071387699120207,0.5358795559993175,0.39479822229798234,0.6433759080802888,0.6683661738270574,0.5390077609295918,0.32920081058083195,0.411940323608714,0.6757214707440318,0.09548719329323553,0.04038314854842152,0.9149978720401231,0.8062836691801443,0.22102472891155636,0.3404346901020521,0.31846663485827126,0.6926241252095732,0.26837635834452495,0.017464969885545665,0.0704011175287727,0.34663173445758405,0.3368724792552795,0.3915604841019851,0.06774733949835768,0.5250116604036874,0.18078725703308693,0.28755611398307895,0.08097987729912992,0.8872556414476864,0.944585017737487,0.4412844762789221,0.3747371938045819,0.7493537882934496,0.42845559459625976,0.739209512979651,0.6027902643660878,0.20336074888015127,0.3201348635712642,0.3719587476196622,0.8738244536436675,0.5274703903831267,0.3453221478948305,0.014916864823139316,0.14108009426536414,0.5760448530040007,0.14517115911783268,0.43060046045271816,0.033592206441187863,0.5216847130145779,0.5470252109554073,0.08575141872813573,0.3161871977284297,0.5033770748344162,0.7759718218862632,0.004075843873076141,0.2257242685822252,0.9542902126163026,0.5823892683325037,0.31005199088686825,0.13612629229745332
Broadcasting,0.09593795972209829,0.49895642913473304,0.05522648469204599,0.07998416901964642,0.2720302507051733,0.4285506006864679,0.7219720068277138,0.5549555466812823,1.0,0.0946614017262322,0.2641938793732776,0.039256032629886875,0.20426756663429915,0.7425451231639739,0.1705013794011477,0.5941038971523898,0.39231488875649867,0.37993752042796025,0.0754066267823371,0.18884633480083501,0.2152484052702756,0.29504489244962306,0.8797570578019449,0.538587809602117,0.643182993530778,0.2792871431396308,0.4349262692442615,0.7912993587668038,0.7446272511814318,0.4164819930182365,0.6352350110170827,0.22032640525164673,0.4314921307473908,0.39518953106559473,0.38096578272568804,0.7592433995772607,0.7394607211346338,0.009237245489388838,0.1924285918341728,0.6581443769254033,0.4916644879663886,0.23795365130421472,0.023877455145063602,0.7536332383478566,0.2024943106066201,0.680456925141251,0.461788364722473,0.18089447793667487,0.43396068371433155,0.5633185320548844,0.8253320191748776,0.41528544270388623,0.4703814077670523,0.10460722063662412,0.6155354034132381,0.4679800007550383,0.48224248489906807,0.6215626073366527,0.19693425765757247,0.4291649800569458,0.32814230258100674,0.3304473047940132,0.31520300306637694,0.5103259130444215,0.5102756829656359,0.8653955320512114,0.8841186979970784,0.37271949658793346
Building Products,0.3899750444921251,0.4997247758520896,0.3951399263562889,0.8258429846155659,0.13545342909455352,0.831299201968325,0.779733759655349,0.8012466413967878,0.4306777034948789,1.0,0.31474969268027786,0.10200615608088863,0.15421699146253165,0.21916451369755807,0.7480519171251543,0.3854493756189403,0.23732130405677773,0.630986694834647,0.006911198350399249,0.14754658863403705,0.8040149662137838,0.5946202382193211,0.31371012396730086,0.7055462874107856,0.2986978179257158,0.45717685996158486,0.22607967675286578,0.2646442703688851,0.27547188884812074,0.9379479889851122,0.5467850939004828,0.4641370005789145,0.35568275471277855,0.21770085788809812,0.1260501534763424,0.44653821797744253,0.7287242485070381,0.5897370650956177,0.45334036081772655,0.22881448854600436,0.7931076909452842,0.07814890192389956,0.5051109713813854,0.05777677931695939,0.030053749405215595,0.6204959135291783,0.47364610066534896,0.7444840569413134,0.8087715176241528,0.6641626363228981,0.20259820971594902,0.28843569964992727,0.14306340989286526,0.5006368612160477,0.12044429954256969,0.5074670542874,0.02971687287389757,0.4031177561174466,0.23662720312959099,0.04497254290960548,0.7219222207562934,0.32514518845564366,0.4516808174715452,0.7581725504805722,0.4635702593529276,0.35862075288572215,0.4499603916407864,0.04077210152471894
Casinos & Gaming,0.11786281831349217,0.5385539977892595,0.2797255173433392,0.30795442875872653,0.2551240184509637,0.6397664212385191,0.7597598014114222,0.5512545835009872,0.14813769306713928,0.2809155439407359,1.0,0.005363007948136759,0.4642459425677234,0.05068968455467228,0.3220093568551838,0.7310699286692588,0.1466984411121331,0.7797262237401789,0.11245898605060735,0.892155000910341,0.4670428447373614,0.8019373499631378,0.5100867969423957,0.39154406697551375,0.31481164802965295,0.6508810053909807,0.017152379231032112,0.4794813240856397,0.4859067561898025,0.21256289257217817,0.12185986305993267,0.4430659008329809,0.6083402867869921,0.26478576573644175,0.4601344276384391,0.43089397806765306,0.20991802039332966,0.7966883340529786,0.6266429478773866,0.14617940697009846,0.5566482734098831,0.1287023795139145,0.46968415746665354,0.014963616663655437,0.058547116378171976,0.07255830292814783,0.12463327679259832,0.07902390615790879,0.3361388664171866,0.010393572522116666,0.7670513519647626,0.40172549836999627,0.0018668711187224173,0.523183024898989,0.10592572309306084,0.1469231670724764,0.3138907769171989,0.3085365819746942,0.22833963458702636,0.0075859505458227595,0.5785431401451945,0.37524908736997836,0.5030488483214824,0.3616611373070296,0.8451023123440814,0.3945932842220147,0.7009101304174548,0.3316084635238234
Communications Equipment,0.5609632272029768,0.37058019127571246,0.626994767944188,0.3564249347205186,0.10082633612805866,0.21070800779374452,0.3725508121540907,0.3514537271742899,0.20622535584894644,0.31922019957584996,0.06422383277618626,1.0,0.31498985741743885,0.06414467747703297,0.3142657131230266,0.34809152424317336,0.09395990577343026,0.3855839656681389,0.571876790895114,0.35419279520641267,0.42151210910173537,0.8128686336310371,0.8727283040449243,0.49632731294163923,0.18308087085909208,0.5188096286753631,0.48261437235701327,0.6068399538120568,0.41890043043761055,0.7945402671537678,0.2566750578944702,0.5910411378179591,0.2002972433187327,0.19496670961147325,0.2846144708101868,0.2661550916558258,0.055268435999159496,0.7068110824427638,0.05572870826710175,0.41097121354117316,0.2985884222172047,0.01110958968765854,0.637472681239811,0.6093436811423143,0.3706825415884627,0.4615736253272715,0.32341071002677274,0.41535292595938533,0.6059821156775038,0.25872199647922195,0.367658158512545,0.3008893634695763,0.20674542278498692,0.8723399534672279,0.3164833813164198,0.6755926958316489,0.3357202380901868,0.3975809850066134,0.3726953918959718,0.7558552929115563,0.2881269064598285,0.35732640179430597,0.7021269546061393,0.31410099260132845,0.09394413950761495,0.06982332598865665,0.8627656918490134,0.029325232781057226
Construction Machinery & Heavy Transportation Equipment,0.07756808293270702,0.8692063790545431,0.6978766864608845,0.6342693978903282,0.04387061797816376,0.5781815182581092,0.1421344098500043,0.30843691825147407,0.9038461691948457,0.08003344584948559,0.7276015528586413,0.03527551626439117,1.0,0.07123805875637226,0.16531611448846043,0.3785871636719025,0.262045981374022,0.37755508563536283,0.08794578827283274,0.3036616691300289,0.03893460927227931,0.3259992579651181,0.09245884581105947,0.19091362822394947,0.32497255443823597,0.22802283903263584,0.2577037098426841,0.5140268231007158,0.6599742698177877,0.30190965121506635,0.20202855688794902,0.5796537552285392,0.031226226706140444,0.10889758341851583,0.2949594959289017,0.012115127069431053,0.7501696311654045,0.8035407817934939,0.3442162171496723,0.01551098779114192,0.6188429047423304,0.0477196884161235,0.7534373025356274,0.006147393908322813,0.028687089931390936,0.08491013961963105,0.4382923655586121,0.23624364140005916,0.7266782596796318,0.04186372300273634,0.027477501438294884,0.1426859787679025,0.21533487772475005,0.28832833534787095,0.25270707814913806,0.019694606525621442,0.04439842147473985,0.08503205927634093,0.2918045616924985,0.008972175410587724,0.06909794635713427,0.672790821021528,0.8335117670948441,0.2229071621610328,0.4134220898549474,0.5380551609770889,0.24568845715877372,0.20886595570379823
Consumer Finance,0.2927071761913301,0.3940052635193604,0.2322166449555483,0.32068710265354355,0.1568430863041122,0.4858461325012537,0.5117649894009944,0.6510875473550957,0.3625054117490621,0.01962193287906863,0.5328126800771571,0.13049742278987428,0.8051890942238189,1.0,0.292902395514867,0.3933410744803845,0.3136558706150764,0.2458313784886772,0.14753875624098214,0.09853701128995244,0.05681804501738445,0.3525424357709246,0.8279791394137066,0.1456177324945845,0.18689507901627234,0.7319404382251506,0.16943142577707168,0.5518847434415345,0.7323778634255027,0.08344532998273789,0.4209641438524942,0.22336042979967127,0.40862265360295,0.42065429951596944,0.24011884669410458,0.7112656234279704,0.8652533030232569,0.39425448141636776,0.1584950852219435,0.48786728357708165,0.5046952455052541,0.4981558167765655,0.035308863524282606,0.2547388382202675,0.06307106816984714,0.6863501553606973,0.5848356553814762,0.7553219556888919,0.82324836008198,0.9206852932034172,0.36550020444134906,0.013917302412464815,0.16768101447704262,0.327925710553433,0.12279403393317077,0.2541609947960633,0.30428823968162133,0.3632486425782957,0.04763793688314449,0.10102966941819516,0.41713648297569317,0.9651446369421827,0.6705316994067124,0.1947846944745676,0.8876401847275365,0.7418308226361792,0.17532593257721862,0.12771517657657225
