,TCI
2020-06-18,86.96338830394622
2020-06-19,86.95591826548505
2020-06-22,86.96012221354184
2020-06-23,86.96939470859394
2020-06-24,86.99277181477503
2020-06-25,86.98684656233448
2020-06-26,86.96398763891278
2020-06-29,86.91733745057658
2020-06-30,86.92683975566365
2020-07-01,86.88102466238118
2020-07-02,86.86567415776628
2020-07-06,86.828746895018
2020-07-07,86.80583555794531
2020-07-08,86.7849733401798
2020-07-09,86.770945687261
2020-07-10,86.77253976959332
2020-07-13,86.80274745965829
2020-07-14,86.79407860618663
2020-07-15,86.7633977780928
2020-07-16,86.76144749513539
2020-07-17,86.74224758881964
2020-07-20,86.70254953027357
2020-07-21,86.65092106923062
2020-07-22,86.64603117750119
2020-07-23,86.62878298452267
2020-07-24,86.62418680823588
2020-07-27,86.61224593626913
2020-07-28,86.57643041352276
2020-07-29,86.57424568683147
2020-07-30,86.56315264574658
2020-07-31,86.54930983296609
2020-08-03,86.54298383949407
2020-08-04,86.53752931733023
2020-08-05,86.52142709550837
2020-08-06,86.5056372326076
2020-08-07,86.47730811872191
2020-08-10,86.44619621669621
2020-08-11,86.4745861426587
2020-08-12,86.47351101111353
2020-08-13,86.48280920271144
2020-08-14,86.48318921485884
2020-08-17,86.46970393428629
2020-08-18,86.47461272807621
2020-08-19,86.48996776170776
2020-08-20,86.47341663261655
2020-08-21,86.47653119345257
2020-08-24,86.48389394157076
2020-08-25,86.46928697179199
2020-08-26,86.4160955626782
2020-08-27,86.37892950036455
2020-08-28,86.39036448676204
2020-08-31,86.37559800961024
2020-09-01,86.35704470609447
2020-09-02,86.31300748341928
2020-09-03,86.28733120045747
2020-09-04,86.27056769928862
2020-09-08,86.32004899707867
2020-09-09,86.316295767182
2020-09-10,86.3359184243682
2020-09-11,86.33073043426145
2020-09-14,86.31445640049695
2020-09-15,86.30258478331683
2020-09-16,86.27489249132847
2020-09-17,86.2655762283128
2020-09-18,86.26479840230282
2020-09-21,86.24895072270955
2020-09-22,86.24159043193583
2020-09-23,86.27983976159034
2020-09-24,86.27289901991504
2020-09-25,86.27583716647597
2020-09-28,86.29451655290448
2020-09-29,86.28817633072333
2020-09-30,86.28734667776283
2020-10-01,86.27015914803103
2020-10-02,86.22602146874951
2020-10-05,86.22384102531313
2020-10-06,86.21189971073018
2020-10-07,86.21441108048657
2020-10-08,86.20800328588726
2020-10-09,86.19825551715813
2020-10-12,86.1913611056845
2020-10-13,86.18899294949868
2020-10-14,86.1875072619468
2020-10-15,86.22046345374976
2020-10-16,86.21819835230148
2020-10-19,86.23927071902222
2020-10-20,86.23808953027857
2020-10-21,86.23179046752554
2020-10-22,86.21461045095263
2020-10-23,86.21319137522335
2020-10-26,86.22257415786095
2020-10-27,86.21085283619178
2020-10-28,86.24925566375083
2020-10-29,86.21871356289961
2020-10-30,86.21379197513038
2020-11-02,86.24290267132001
2020-11-03,86.22895481217483
2020-11-04,86.09839321103692
2020-11-05,86.15000298030867
2020-11-06,86.12860669918938
2020-11-09,85.94973067950335
2020-11-10,85.94935343700598
2020-11-11,85.93669579778091
2020-11-12,85.9356951499505
2020-11-13,85.95465679394235
2020-11-16,85.9529965401281
2020-11-17,85.96563330431552
2020-11-18,85.96616569874578
2020-11-19,85.9682114877438
2020-11-20,85.96804970005691
2020-11-23,85.93804130133336
2020-11-24,85.92266085762323
2020-11-25,85.91074200749294
2020-11-27,85.90440423511592
2020-11-30,85.88504352763337
2020-12-01,85.90542593736707
2020-12-02,85.89496922789827
2020-12-03,85.88398648052406
2020-12-04,85.81702938989166
2020-12-07,85.7512694076188
2020-12-08,85.74988427981455
2020-12-09,85.65309217889552
2020-12-10,85.68289798725537
2020-12-11,85.64446278259523
2020-12-14,85.68049100638291
2020-12-15,85.6812349043673
2020-12-16,85.68252561624267
2020-12-17,85.6918689705984
2020-12-18,85.08461145798788
2020-12-21,85.09326803859229
2020-12-22,85.01189400789634
2020-12-23,84.2129064036816
2020-12-24,83.45132095792302
2020-12-28,82.42618851618778
2020-12-29,82.7586541472905
2020-12-30,82.44366019071111
2020-12-31,82.72409253662507
2021-01-04,82.69393099967492
2021-01-05,82.4150652773529
2021-01-06,80.56850792494413
2021-01-07,80.51266436158116
2021-01-08,79.87397129795538
2021-01-11,79.96234256058582
2021-01-12,80.09413227659363
2021-01-13,80.1425443280366
2021-01-14,79.40133146962374
2021-01-15,79.48413831003069
2021-01-19,79.47517288320437
2021-01-20,77.94507485155994
2021-01-21,78.03505825839953
2021-01-22,77.82124689048901
2021-01-25,77.8884734478652
2021-01-26,77.92146291525863
2021-01-27,77.77317215903243
2021-01-28,77.6602019240035
2021-01-29,77.93545426404822
2021-02-01,77.51633036797763
2021-02-02,77.23811079400417
2021-02-03,76.75347205351444
2021-02-04,76.66584260837728
2021-02-05,76.78333059704585
2021-02-08,76.76970630099193
2021-02-09,76.76501476784435
2021-02-10,76.84191091970227
2021-02-11,77.1554526836664
2021-02-12,77.08397798758152
2021-02-16,76.64805797288919
2021-02-17,76.67784367605118
2021-02-18,76.67020892936932
2021-02-19,76.59502998104183
2021-02-22,76.57901831133543
2021-02-23,76.37161253888203
2021-02-24,76.42344890871126
2021-02-25,76.56166701597459
2021-02-26,76.43972187131426
2021-03-01,76.59013361958009
2021-03-02,76.60238654931759
2021-03-03,76.12591121453474
