date,sector,hhi,top1,top3,n_firms,sector_cap,sector_share
2018-10-01,Communication Services,0.18952076498799017,0.3483864234612031,0.6320074489200014,12.0,2398643889942.46,0.09823373608434664
2018-10-01,Consumer Discretionary,0.14914794744236437,0.3605419296924101,0.49726411330350584,57.0,2718324363335.2607,0.11132588677260105
2018-10-01,Consumer Staples,0.07290381201844857,0.14977275901732393,0.36929984914668634,30.0,1845944007813.253,0.07559854017945038
2018-10-01,Energy,0.13130997518740484,0.27488860438465473,0.5243163968035494,19.0,1321637976634.2576,0.05412618218990981
2018-10-01,Financials,0.05995331380523321,0.15639159759162602,0.3539645159396533,62.0,3382911660994.116,0.1385433046965244
2018-10-01,Health Care,0.04339065762995238,0.11206251315913182,0.2660428251924932,52.0,3343185591470.3193,0.1369163686408506
2018-10-01,Industrials,0.032019524127922784,0.08758680523675579,0.19164640413531614,66.0,2478646844777.3486,0.10151016623063522
2018-10-01,Information Technology,0.09202945331900228,0.2107070479185847,0.44939823413024726,52.0,5118193933007.498,0.2096098191781289
2018-10-01,Materials,0.07738234317245753,0.1830641905626719,0.36097569624321246,21.0,494818517485.4249,0.020264730358734884
2018-10-01,Real Estate,0.05062894583351783,0.09806721487752414,0.26621320176508845,30.0,646938797859.5018,0.026494643660163866
2018-10-01,Utilities,0.05316604971926919,0.11939425235162637,0.27292402160816315,27.0,668474698467.5353,0.027376622008654365
2018-10-02,Communication Services,0.18875470955930748,0.3482251065908812,0.6297432525111989,12.0,2397987878338.209,0.09827236560049026
2018-10-02,Consumer Discretionary,0.148605511652927,0.359726737468873,0.4962082867032839,57.0,2679560196959.2407,0.10981153061815475
2018-10-02,Consumer Staples,0.07295594062588445,0.15011393072241092,0.36997481882218475,30.0,1856381171851.3894,0.07607668531688735
2018-10-02,Energy,0.1320342517796051,0.2764277444790844,0.5244717815311655,19.0,1324234665723.7527,0.054268695178322106
2018-10-02,Financials,0.06007093048787581,0.15670310403453508,0.35445936934709393,62.0,3384203596102.8975,0.13868864645520618
2018-10-02,Health Care,0.04362736295977751,0.11281214446704271,0.2673049696829548,52.0,3339751471219.792,0.13686694605893124
2018-10-02,Industrials,0.03220150810727367,0.0883274725200003,0.19318745146401115,66.0,2484093740330.6934,0.10180108516847021
2018-10-02,Information Technology,0.09257452161100724,0.21268002260833066,0.4503081306536555,52.0,5115784965799.123,0.2096508889948597
2018-10-02,Materials,0.07700375845150938,0.18217256589309133,0.3583840706907128,21.0,497711488534.0767,0.020396802588793828
2018-10-02,Real Estate,0.050617510173058905,0.09840127951504936,0.2658217845112892,30.0,645190163214.3982,0.02644065225433256
2018-10-02,Utilities,0.053164791489806545,0.11962979017897586,0.27299961554730723,27.0,676547230199.999,0.02772570176555174
2018-10-03,Communication Services,0.18945370332082195,0.3483555088159502,0.6325392981354127,12.0,2404811630289.254,0.09851214292677439
2018-10-03,Consumer Discretionary,0.1474032070128205,0.35799204225168146,0.49451166235883937,57.0,2667207593742.324,0.10926108822025185
2018-10-03,Consumer Staples,0.07278900624277403,0.1500237948429828,0.3689875458803572,30.0,1836412957227.2915,0.07522791949122244
2018-10-03,Energy,0.1306439880466368,0.2736854188982465,0.5212201572691367,19.0,1332707940878.2422,0.05459384572905326
2018-10-03,Financials,0.06008156445453562,0.15629256881801168,0.3547707435287369,62.0,3410587158572.7266,0.1397133336340049
2018-10-03,Health Care,0.04364478180354024,0.1119350023551592,0.2679271213984511,52.0,3331180193270.729,0.1364604591815178
2018-10-03,Industrials,0.032299322516662676,0.08930185782009645,0.19356337293414044,66.0,2494699224267.152,0.10219435212510126
