date,quarter,year,revenue,ticker,company_name,revenue_yoy_growth
2022-12-31,4,2022,29975000000.0,AIG,,
2023-12-31,4,2023,27938000000.0,AIG,,-6.795663052543787
2024-12-31,4,2024,27270000000.0,AIG,,-2.391008662037364
2025-12-31,4,2025,26774000000.0,AIG,,-1.8188485515218233
2022-12-31,4,2022,10193000000.0,AIZ,,
2023-12-31,4,2023,11131600000.0,AIZ,,9.208280192288832
2024-12-31,4,2024,11877500000.0,AIZ,,6.700743828380462
2025-12-31,4,2025,12814300000.0,AIZ,,7.887181645969266
2022-12-31,4,2022,14050000000.0,L,,
2023-12-31,4,2023,15678000000.0,L,,11.587188612099641
2024-12-31,4,2024,17239000000.0,L,,9.956627120806228
2025-12-31,4,2025,18176000000.0,L,,5.435350078310797
